SYMBOL,p value,p (rank),Fold change,ln(p),Fold (rank),log(fold),which
Rasgrp1,4.41683113994173e-06,7.0,1.29829211664629,-12.330088055661426,34.0,0.37661502726755525,both
Ints12,9.00036539397409e-05,94.0,1.344771415498,-9.315660289127685,8.0,0.42736096404308005,both
Trio,5.16328122611709e-05,60.0,1.29467577938719,-9.871353191038969,39.0,0.3725908546423651,both
Lzts2,2.53467999572488e-05,29.0,1.26842615557946,-10.582858070323374,83.0,0.34303953195183823,both
Zfp532,3.57131640044139e-05,38.0,1.27677225186453,-10.23999119752699,71.0,0.3525012028724242,both
Tbx3,0.000127575849036443,123.0,1.2978088393765,-8.966799475841848,35.0,0.3760778973636224,both
LOC100045403,0.000493771199429061,425.0,1.33503043036025,-7.613438307118118,10.0,0.41687262672891817,both
Bcl2l11,0.000358735574230717,327.0,1.3253092717663,-7.932925002902512,14.0,0.40632906366001437,both
D030063E12,4.8957446588726597e-05,55.0,1.26663697388927,-9.924559074128254,89.0,0.34100309826285574,both
Nfkbia,0.0011191085143909,867.0,1.35678336307322,-6.795222879920732,5.0,0.44019038474332134,both
AI413582,0.00274254224838577,1598.0,1.38162826049547,-5.898869960870366,2.0,0.46636949786633575,both
4930563B10Rik,0.000206064753075497,187.0,1.30650482854328,-8.487320103249742,27.0,0.3857124565389688,both
Bcl2l11,0.000371361842259166,342.0,1.32301310756375,-7.8983336546060805,18.0,0.4038273549828367,both
Nfkbia,0.000569163011104434,478.0,1.33336933665615,-7.471343677864988,11.0,0.4150764551143563,both
Zfp292,4.79962685300261e-05,54.0,1.26066104141365,-9.944387289036001,100.0,0.3341804250656692,both
Rheb,1.62546943238695e-06,3.0,1.16298726906572,-13.329713902431898,566.0,0.2178353040714236,both
Zfp608,0.0011712826821908,892.0,1.35247513808991,-6.7496558211161615,6.0,0.4356020739159978,both
Foxj3,0.000113685426489041,109.0,1.28513068540837,-9.082075340541289,57.0,0.36191507506424087,both
Fnip1,3.24933499573632e-05,36.0,1.24225385295065,-10.334475106261952,142.0,0.31296001653014416,both
Pum1,0.00252614701402765,1489.0,1.36286561146465,-5.981060056419759,4.0,0.4466433088545939,both
Trappc6b,0.000903989014622963,746.0,1.33099937766255,-7.008693349611682,12.0,0.4125098966867974,both
Cog3,0.000343094706979574,308.0,1.29951957312737,-7.977504035267618,32.0,0.3779783635839744,both
C330049H01Rik,8.73066890132446e-05,90.0,1.25171687875813,-9.346083477054592,115.0,0.3239082812786009,both
Clk2,0.000545111757920269,463.0,1.30368339772895,-7.514519723918878,30.0,0.3825935505624576,both
Bcl6,0.00169207657490178,1153.0,1.3357714778505,-6.381798761788025,9.0,0.41767321442012467,both
Syvn1,0.000171147753424306,151.0,1.26830756979869,-8.67298331942944,84.0,0.3429046473825594,both
Skil,0.00118244545499735,897.0,1.32301365758256,-6.740170565514197,17.0,0.40382795475712474,both
Fzd7,0.000414598806299127,369.0,1.29196851119489,-7.788199237129482,45.0,0.36957090803757886,both
Slc30a5,3.00808596997992e-05,32.0,1.21597078873254,-10.411621478845596,230.0,0.28210857133339096,both
Irf1,0.000340719532933464,306.0,1.28543816378377,-7.984450903172444,56.0,0.3622602107563856,both
Dmxl1,0.000564551316293294,472.0,1.29866495969995,-7.479479272760806,33.0,0.37702928042032413,both
Kit,0.00131143174805159,966.0,1.32171465551731,-6.636635801146424,19.0,0.4024107475687262,both
Sdad1,0.000426600453338644,377.0,1.28577056414843,-7.759662689249098,54.0,0.3626332278165307,both
Pcgf2,0.00178921947516808,1192.0,1.32497591601717,-6.325975801617917,16.0,0.40596613616007976,both
Ugcg,6.45558672184299e-05,73.0,1.22866562349182,-9.647979550636022,192.0,0.29709234535559514,both
LOC237877,0.000703252308024926,584.0,1.29593113858505,-7.25979482865881,37.0,0.3739890603048937,both
ORF61,0.000577775156089366,485.0,1.28735936719857,-7.456325768278905,50.0,0.36441483903232025,both
Kif1b,0.00148700064671059,1046.0,1.31418742137622,-6.510994176594604,22.0,0.3941710386802526,both
Kif20b,0.000304849734510393,272.0,1.26732442774933,-8.095691576496861,87.0,0.34178589337444637,both
Ddx6,3.19457042224913e-05,34.0,1.1971936619118,-10.351472839310526,321.0,0.2596565461666441,both
Ptch1,0.000261732894908828,239.0,1.25782339009751,-8.248186059312372,104.0,0.33092936886475643,both
Tcf7l2,0.000254217944531732,233.0,1.25602923622479,-8.2773186095221,108.0,0.32887004581044876,both
LOC100047200,0.000477590891099999,417.0,1.27364864123702,-7.646756068303942,74.0,0.34896733924436946,both
D14Abb1e,0.00162428415703564,1114.0,1.30889176452248,-6.422688079004622,25.0,0.3883458022161296,both
Pnldc1,0.000908255478648146,747.0,1.29194771283629,-7.003984854788509,46.0,0.36954768306725483,both
Ctgf,0.00213128992815859,1327.0,1.31531273852553,-6.151027882488072,21.0,0.3954058661920418,both
Tmem188,0.00152218067089249,1065.0,1.30397512843133,-6.487611320350818,29.0,0.38291635236731986,both
4732462B05Rik,3.82963700447103e-05,43.0,1.19693225352743,-10.170155443169802,322.0,0.2593414979239063,both
Sav1,0.000929773026928982,757.0,1.28794807067549,-6.980570058669356,48.0,0.3650744259919275,both
Ippk,1.36450801220267e-05,15.0,1.16118439185783,-11.202131531924788,587.0,0.21559708512006215,both
Foxj3,0.000151625561971902,135.0,1.22998631564515,-8.794096484379462,187.0,0.2986422647834564,both
Ahdc1,0.00105328482036704,822.0,1.28341669250596,-6.855841597725634,62.0,0.35998965258714666,both
Lin54,0.000996054655295842,788.0,1.27953359578185,-6.91170842709022,66.0,0.35561802766775696,both
Zfp292,0.000836727561710049,691.0,1.27433678852385,-7.0860120342347255,73.0,0.34974661112768,both
Zfp292,0.000665458411306385,552.0,1.26705873518067,-7.315034414483965,88.0,0.3414834029237379,both
Kif1b,0.001765690956677,1179.0,1.29495073712495,-6.339213188333133,38.0,0.37289721555092226,both
AI450540,0.00125098823531666,931.0,1.28478424890498,-6.683821451764876,59.0,0.3615261110391849,both
4933428G20Rik,0.00109723855799149,852.0,1.27921681797779,-6.814958657345959,67.0,0.35526081129615744,both
Cdc7,1.04077993030582e-05,12.0,1.14475639668961,-11.472955099889816,745.0,0.19504062655030682,both
Rad1,0.000836426295290682,690.0,1.27013832149388,-7.08637215224941,79.0,0.3449856189397997,both
2210419D22Rik,0.000124179693786086,119.0,1.21510174515689,-8.993780897918102,232.0,0.2810771213105438,both
Eif4enif1,0.000859901358919113,713.0,1.27053215146085,-7.05869287422641,76.0,0.34543288398333855,both
Clk2,0.00152999044590185,1071.0,1.2864664175321,-6.482493788105884,53.0,0.36341379683676167,both
Ube2g1,0.00024737763344207,227.0,1.23304720833254,-8.30459450855169,180.0,0.3022280356884031,both
Aebp2,0.000291858312069904,262.0,1.23658323622992,-8.139242106096761,161.0,0.3063593529138642,both
2810485I05Rik,0.000351818541479254,320.0,1.23989038234593,-7.952395022446886,148.0,0.31021257880856956,both
Centg3,0.00193638609033742,1252.0,1.28432955643415,-6.246931883183458,61.0,0.36101544266919505,both
Ncstn,0.000366163716588819,339.0,1.23504145687547,-7.9124300114933765,167.0,0.30455946984624394,both
Sox2,0.00052407936764931,441.0,1.24535945321055,-7.553867420133295,133.0,0.3165622133913136,both
Phf13,0.000406889607179606,365.0,1.23703560503001,-7.806968644743605,160.0,0.3068870253433689,both
Pscd3,0.000692301524635175,577.0,1.25168280162769,-7.2754889680074415,116.0,0.3238690043645053,both
LOC100041797,0.00111258821592397,860.0,1.26494301149196,-6.801066251855021,93.0,0.3390723897496726,both
Nudt4,0.000140520858607385,130.0,1.20496039742897,-8.870154620370506,278.0,0.2689857312089967,both
Irf1,0.000274856871034013,251.0,1.22408379347232,-8.199260064755915,207.0,0.2917023197047726,both
Pik3c3,0.000543660693598791,460.0,1.2433345148404,-7.517185230707915,137.0,0.31421450071397566,both
Setd1a,0.000586567388761061,489.0,1.24548282204102,-7.441222996622869,131.0,0.3167051237649113,both
Rbm5,0.000602441716130664,498.0,1.24541018891865,-7.414519633991352,132.0,0.31662098731664473,both
Pex11b,0.000708421931144176,588.0,1.24972584939761,-7.252470693833259,121.0,0.32161164761278954,both
Ctgf,0.00140779848062089,1011.0,1.2692140818105,-6.5657281560486105,80.0,0.3439354330223594,both
4930539E08Rik,0.000740738631745064,620.0,1.25044723699538,-7.207862718580691,119.0,0.3224441838435068,both
Fat1,0.00151396519132363,1062.0,1.27036149481503,-6.493023115430898,77.0,0.3452390895698254,both
Mysm1,0.00154123000883577,1073.0,1.26920033250293,-6.475174474317111,81.0,0.34391980432301444,both
Mll3,0.00206058129462128,1303.0,1.27689634384717,-6.184767154131468,69.0,0.35264141440058455,both
Vkorc1l1,0.000604068268307056,500.0,1.24131286670786,-7.411823339418092,146.0,0.3118667853797723,both
Gas6,0.000716177830634157,597.0,1.24572428237282,-7.241582055034076,130.0,0.31698479029583376,both
Centg3,0.00305580138446704,1696.0,1.28752583341729,-5.790713401783703,49.0,0.36460137937866294,both
Sox21,0.00133858298698164,978.0,1.26357083515975,-6.6161436969395035,97.0,0.3375065433243809,both
Dab2ip,0.000390028043631085,355.0,1.22780389286902,-7.849291914679377,193.0,0.2960801491619826,both
Pum2,0.00265403805819808,1555.0,1.28215310999959,-5.931673003235947,63.0,0.3585685535694443,both
Rabgef1,0.0014552649841495,1032.0,1.26462443653318,-6.532567275250081,94.0,0.3387090023128426,both
Btg1,0.000960397091968934,772.0,1.25205108311718,-6.948163721559147,113.0,0.32429342477564227,both
Setd2,0.000174766157633233,156.0,1.20270325615848,-8.652061719704145,293.0,0.2662807292319581,both
Phf13,0.000396128976216992,357.0,1.22524512262947,-7.83377070222006,201.0,0.2930704037790659,both
1110001A07Rik,0.00215172597600444,1339.0,1.27314934950151,-6.1414849793607615,75.0,0.3484016675871552,both
Med4,0.000685484563714756,570.0,1.23884050063406,-7.285384577501724,153.0,0.3089904540186525,both
Arhgef11,0.000450042851509291,394.0,1.22620690540433,-7.706167754157374,199.0,0.29420243434301613,both
LOC100044968,0.00161753210074078,1110.0,1.26263938449049,-6.426853685887672,98.0,0.3364426577365401,both
Slc30a5,0.000449548236953534,393.0,1.22521639354303,-7.707267397344021,202.0,0.2930365756121964,both
Slc38a2,0.00283504212011809,1637.0,1.2775144999366,-5.865698484728277,68.0,0.353339666010575,both
Stk17b,0.00186521154813823,1221.0,1.2642703987172,-6.284380801682006,96.0,0.33830505621147144,both
